Album ID,Artist IDs,Artist(s),ID,Popularity,Query,Rank,Release Date,Song,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Primary Artist ID,Genres,Top Genre
7DYy5TiODoqnZbZ2o6KcmV,'6eKWqnckwdIlSnjaYgIyxv',Eli Young B,0Nu9WA8kEbBWEsay2s8Q0U,67.0,track:Even If It Breaks Your Heart artist:Eli Young B,99.0,2011-01-01,Even If It Breaks Your Heart,2012.0,0.495,0.527,0,-4.742,1,0.0351,0.000159,0.0163,0.1,0.574,208.067,220520,4,6eKWqnckwdIlSnjaYgIyxv,"contemporary country, country, country road, heartland rock, modern country rock, pop rock, texas country",country
49ibE9W9vxZBPBV7wtZKFi,'7GaxyUddsPok8BuhxN6OUW',James Brown,0YfMMzlMdOSGiAA0oYtyNV,39.0,track:Get on the Good Foot artist:James Brown,99.0,1972-11-20,Get on the Good Foot,1972.0,0.897,0.631,7,-11.952,1,0.152,0.0416,0.0,0.0914,0.8,107.51,344333,4,7GaxyUddsPok8BuhxN6OUW,"funk, motown, soul",soul/r&b
7cIRt2D0UIEbatRo5TXjl2,'0XTxadWXVyfB8eTIYOjMYj',Gary Lewis ,74coCfBHqY0ralpA8MUR4s,32.0,track:Green Grass artist:Gary Lewis ,99.0,1990-01-01,Green Grass,1966.0,0.533,0.615,0,-11.401,1,0.0317,0.327,0.000592,0.218,0.904,172.845,135160,4,0XTxadWXVyfB8eTIYOjMYj,"adult standards, brill building pop, british invasion, bubblegum pop, folk rock, merseybeat, rock-and-roll",rock
7fklU8G8GgOL4urpnOqH9O,'77OdfWXrYy6DcYPzmUOr6a',The New Christy Minstrels,62FgmkaAc47fWDWW24NGWK,33.0,"track:Green, Green artist:The New Christy Minstrels",99.0,1963-10-01,"Green, Green",1963.0,0.628,0.783,5,-10.317,1,0.0385,0.471,0.0,0.0922,0.897,140.475,127347,4,77OdfWXrYy6DcYPzmUOr6a,american folk revival,
7mdy09EO4q6F9VWBtXDDjK,'1vfezMIyCr4XUdYRaKIKi3',Keyshia Cole,2E90KUsor4U2abOJGFKtfx,53.0,track:Heaven Sent artist:Keyshia Cole,99.0,2007-01-01,Heaven Sent,2008.0,0.642,0.742,2,-3.614,0,0.0429,0.0832,0.0,0.0887,0.407,78.858,232880,4,1vfezMIyCr4XUdYRaKIKi3,"dance pop, hip pop, neo soul, pop, pop r&b, pop rap, r&b, urban contemporary",soul/r&b
6whfi6LNFoQnkvrQAWwZix,'7qG3b048QCHVRO5Pv1T5lw',Enrique Iglesias,24Gxm7Eh7tO83E26LG0CsY,61.0,track:Hero artist:Enrique Iglesias,99.0,2001-01-01,Hero,2001.0,0.581,0.651,7,-5.617,1,0.0392,0.143,1.05e-05,0.107,0.146,151.959,264600,4,7qG3b048QCHVRO5Pv1T5lw,"dance pop, latin, latin pop, mexican pop, pop",pop
3CY1flJJiT7wafbRpQRMpi,'0U2mUJuJkthantMGmsJygP',Jerry Butler,6j4lyAHZnqLgFAknzhzLrH,16.0,"track:Hey, Western Union Man artist:Jerry Butler",99.0,1992-01-01,"Hey, Western Union Man",1968.0,0.579,0.699,6,-9.97,1,0.0396,0.485,0.0,0.337,0.819,91.559,161800,4,0U2mUJuJkthantMGmsJygP,"beach music, brill building pop, chicago soul, classic soul, motown, philly soul, quiet storm, rhythm and blues, soul",soul/r&b
1vhib5WLHRVdOpRjiTHk15,'485uL27bPomh29R4JmQehQ',Bob Seger ,5VbePtZp1at8gH990zVyTI,62.0,track:Hollywood Nights artist:Bob Seger ,99.0,1978-05-05,Hollywood Nights,1978.0,0.529,0.968,9,-5.198,1,0.0503,0.00506,0.00034,0.201,0.751,150.326,302627,4,485uL27bPomh29R4JmQehQ,"album rock, blues rock, classic rock, country rock, detroit rock, folk rock, hard rock, heartland rock, mellow gold, rock, soft rock",country
55gKl4kSocinFGzFDZARzL,'0uUNzXylqsZdmFDwdxaP1V',B.J. Thomas,09IaAg89NGaWLRvqlYoBPM,40.0,track:Hooked on a Feeling artist:B.J. Thomas,99.0,2005-01-01,Hooked on a Feeling,1969.0,0.363,0.4,9,-12.949,1,0.0309,0.212,1.45e-06,0.086,0.427,130.946,167747,4,0uUNzXylqsZdmFDwdxaP1V,"adult standards, brill building pop, bubblegum pop, classic country pop, folk, folk rock, mellow gold, soft rock",country
2FsaIC8jrXvWGIfokVZ4Jg,'0PFtn5NtBbbUNbU9EAmIWF',Toto,1WeoeHh0TSzsApyJ6Q8OOK,70.0,track:I ll Be Over You artist:Toto,99.0,1986-08-01,I ll Be Over You,1986.0,0.515,0.277,10,-17.85,1,0.0255,0.062,0.0,0.258,0.413,82.167,229880,4,0PFtn5NtBbbUNbU9EAmIWF,"album rock, classic rock, mellow gold, rock, soft rock, yacht rock",rock
